restaurant_id,restaurant_name,rating,n_comment,rank,url
1,Ayam Bakar Primarasa,5,559,"#1 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d11549802-Reviews-Ayam_Bakar_Primarasa-Surabaya_East_Java_Java.html
2,Ayam Bakar Primarasa Dr. Soetomo,4.5,504,"#2 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d12019986-Reviews-Ayam_Bakar_Primarasa_Dr_Soetomo-Surabaya_East_Java_Java.html
3,Ayam Bakar Primarasa Manyar Kertoarjo,4.5,917,"#3 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8794957-Reviews-Ayam_Bakar_Primarasa_Manyar_Kertoarjo-Surabaya_East_Java_Java.html
4,Ayam Bakar Primarasa Kusuma Bangsa,4.5,821,"#4 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d2167753-Reviews-Ayam_Bakar_Primarasa_Kusuma_Bangsa-Surabaya_East_Java_Java.html
5,Ayam Bakar Primarasa Ahmad Yani,4.5,487,"#5 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d12327473-Reviews-Ayam_Bakar_Primarasa_Ahmad_Yani-Surabaya_East_Java_Java.html
6,Asian King,4.5,287,"#6 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d12516286-Reviews-Asian_King-Surabaya_East_Java_Java.html
7,Arumanis Restaurant,4.5,150,"#7 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6489219-Reviews-Arumanis_Restaurant-Surabaya_East_Java_Java.html
8,Layar Seafood,4.5,949,"#8 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d1633203-Reviews-Layar_Seafood-Surabaya_East_Java_Java.html
9,Kafe Bromo,4.5,100,"#9 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7063382-Reviews-Kafe_Bromo-Surabaya_East_Java_Java.html
10,Boncafe Steak & Ice Cream,4,446,"#10 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d1587005-Reviews-Boncafe_Steak_Ice_Cream-Surabaya_East_Java_Java.html
11,Kwetiao Apeng,4,295,"#11 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3639665-Reviews-Kwetiao_Apeng-Surabaya_East_Java_Java.html
12,Warung Bu Kris,4,569,"#12 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d1587007-Reviews-Warung_Bu_Kris-Surabaya_East_Java_Java.html
13,House of Sampoerna,4,367,"#13 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d1134382-Reviews-House_of_Sampoerna-Surabaya_East_Java_Java.html
14,Bu Rudy Dharmahusada,4,539,"#14 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3451355-Reviews-Bu_Rudy_Dharmahusada-Surabaya_East_Java_Java.html
15,Marugame Udon and Tempura Tunjungan Plaza,4,172,"#15 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6982724-Reviews-Marugame_Udon_and_Tempura_Tunjungan_Plaza-Surabaya_East_Java_Java.html
